"date","time","latitude","longitude","velocity","numSatellites","temperature","pressure","altitude"
"28-04-23","15:49:54","4037.956","-8813.017","15.054","10","-26.06629","37819.53","7874.206"
"28-04-23","15:50:25","4038.057","-8812.951","7.22","10","-21.85471","38472.25","7737.485"
"28-04-23","15:50:56","4038.102","-8812.887","5.973","10","-21.85471","41561.53","7120.354"
"28-04-23","15:51:27","4038.114","-8812.771","16.237","10","-17.30325","42305.36","6978.621"
"28-04-23","15:51:58","4038.077","-8812.64","20.481","10","-17.30325","45721.69","6358.125"
"28-04-23","15:52:29","4038.014","-8812.524","9.533","10","-10.94832","46819.25","6168.59"
"28-04-23","15:53:00","4037.975","-8812.412","7.311","10","-10.94832","50628.95","5543.54"
"28-04-23","15:53:31","4037.938","-8812.33","12.59","10","-8.391797","51096.32","5470.119"
"28-04-23","15:54:02","4037.898","-8812.246","10.994","10","-8.391797","54903.25","4895.957"
"28-04-23","15:54:33","4037.861","-8812.18","2.96","10","-5.742188","55411.9","4822.275"
"28-04-23","15:55:04","4037.784","-8812.217","9.136","7","-5.742188","60313.23","4145.066"
"28-04-23","15:55:35","4037.637","-8812.248","13.018","10","-4.994069","60466.14","4124.835"
"28-04-23","15:56:06","4037.503","-8812.273","14.426","10","-4.994069","65641.07","3468.712"
"28-04-23","15:56:37","4037.368","-8812.439","28.164","10","-2.9914","66074.11","3416.174"
"28-04-23","15:57:08","4037.16","-8812.627","33.276","10","-2.9914","70920.49","2850.622"
"28-04-23","15:57:39","4036.937","-8812.752","28.792","10","-0.8978088","71397.33","2797.081"
"28-04-23","15:58:10","4036.749","-8812.878","19.841","10","-0.8978088","76156.39","2281.498"
"28-04-23","15:58:41","4036.644","-8812.976","17.78","10","1.764745","76793.88","2214.893"
"28-04-23","15:59:12","4036.548","-8813.126","15.338","10","1.764745","81871.38","1703.338"
"28-04-23","15:59:43","4036.474","-8813.226","14.433","10","4.350082","82521.95","1640.098"
"28-04-23","16:00:14","4036.378","-8813.281","14.681","10","4.350082","86914.65","1225.719"
"28-04-23","16:00:45","4036.281","-8813.318","8.693","10","8.573866","88022.92","1124.48"
"28-04-23","16:01:16","4036.196","-8813.323","12.664","10","8.573866","91832.2","785.9783"
"28-04-23","16:01:47","4036.094","-8813.319","11.271","10","12.81169","92984.55","686.3392"
"28-04-23","16:02:18","4036.076","-8813.312","0.11","10","12.81169","96934.66","353.9257"
"28-04-23","16:02:49","4036.075","-8813.312","0.289","10","19.85089","98918.62","192.0452"
"28-04-23","16:03:20","4036.075","-8813.312","0.072","10","19.85089","97599.27","299.3314"
"28-04-23","16:03:51","4036.076","-8813.313","0.498","10","22.9594","98468.51","228.4852"
"28-04-23","16:04:22","4036.075","-8813.312","0.041","10","22.9594","98101.03","258.3589"
"28-04-23","16:04:53","4036.074","-8813.312","0.528","10","23.58617","98276.27","244.0998"
"28-04-23","16:05:24","4036.074","-8813.312","0.148","10","23.58617","98017.34","265.1782"
"28-04-23","16:05:55","4036.073","-8813.312","0.368","9","24.34755","98229.33","247.9164"
"28-04-23","16:06:26","4036.074","-8813.312","0.205","9","24.34755","98292.49","242.7801"
"28-04-23","16:06:57","4036.074","-8813.311","0.404","9","24.52179","98340.96","238.8416"
"28-04-23","16:07:28","4036.074","-8813.311","0.241","9","24.52179","98229.46","247.9059"
"28-04-23","16:07:59","4036.074","-8813.312","0.237","10","23.96731","98075.15","260.4677"
"28-04-23","16:08:30","4036.074","-8813.312","0.626","10","23.96731","98430.06","231.6056"
"28-04-23","16:09:01","4036.074","-8813.312","0.443","10","23.79872","98382.73","235.4484"
"28-04-23","16:09:32","4036.074","-8813.312","0.256","10","23.79872","98073.96","260.5639"
"28-04-23","16:10:03","4036.073","-8813.311","0.367","10","24.39112","98238.65","247.1587"
"28-04-23","16:10:34","4036.073","-8813.311","0.261","10","24.39112","98215.62","249.0317"
"28-04-23","16:11:05","4036.073","-8813.311","0.282","10","24.42847","98226.59","248.1397"
"28-04-23","16:11:36","4036.073","-8813.312","0.367","10","24.42847","98243.68","246.7496"
"28-04-23","16:12:07","4036.075","-8813.312","0.02","10","24.83868","98357.54","237.4948"
"28-04-23","16:12:38","4036.073","-8813.311","0.127","10","24.83868","98407.38","233.4467"
"28-04-23","16:13:09","4036.073","-8813.312","0.321","10","24.01723","98178.66","252.0392"
"28-04-23","16:13:40","4036.074","-8813.312","0.08200001","10","24.01723","98154.15","254.0341"
"28-04-23","16:14:11","4036.073","-8813.312","0.241","10","24.44714","98273.7","244.3074"
"28-04-23","16:14:42","4036.073","-8813.311","0.171","10","24.44714","98075.25","260.4591"
"28-04-23","16:15:13","4036.073","-8813.311","0.17","9","25.17357","98277.4","244.0078"
"28-04-23","16:15:44","4036.073","-8813.311","0.254","9","25.17357","98337.7","239.1069"
"28-04-23","16:16:15","4036.073","-8813.312","0.124","9","24.54667","98163.42","253.2793"
"28-04-23","16:16:46","4036.073","-8813.312","0.085","9","24.54667","98329.2","239.7969"
"28-04-23","16:17:17","4036.073","-8813.312","0.037","9","24.80764","98402.23","233.8653"
"28-04-23","16:17:48","4036.073","-8813.312","0.14","10","24.80764","98271.3","244.5031"
"28-04-23","16:18:19","4036.072","-8813.311","0.351","10","25.04962","98337.96","239.0854"
"28-04-23","16:18:50","4036.073","-8813.312","0.166","10","25.04962","98142.97","254.9438"
"28-04-23","16:19:21","4036.073","-8813.312","0.486","9","24.60262","98019.25","265.0225"
"28-04-23","16:19:52","4036.072","-8813.311","0.569","9","24.60262","98086.16","259.5705"
"28-04-23","16:20:23","4036.073","-8813.312","0.193","10","25.60051","98363.46","237.0133"
"28-04-23","16:20:54","4036.073","-8813.312","0.051","10","25.60051","98142.16","255.0095"
"28-04-23","16:21:25","4036.073","-8813.312","0.167","10","25.74259","98181.42","251.8144"
"28-04-23","16:21:56","4036.073","-8813.312","0.056","9","25.74259","98434.1","231.2775"
"28-04-23","16:22:27","4036.073","-8813.312","0.013","9","24.39112","98058.06","261.8597"
"28-04-23","16:22:58","4036.073","-8813.312","0.05","9","24.39112","98313.72","241.0552"
"28-04-23","16:23:29","4036.073","-8813.311","0.05","9","24.26035","98277.53","243.9969"
"28-04-23","16:24:00","4036.073","-8813.311","0.08200001","9","24.26035","98500.41","225.8969"
"28-04-23","16:24:31","4036.073","-8813.311","0.058","9","23.64872","98329.76","239.7517"
"28-04-23","16:25:02","4036.073","-8813.312","0.052","9","23.64872","98237.74","247.2325"
"28-04-23","16:25:33","4036.073","-8813.312","0.1","9","23.46102","98185.62","251.4729"
"28-04-23","16:26:04","4036.073","-8813.312","0.004","9","23.46102","98255.34","245.8014"
"28-04-23","16:26:35","4036.073","-8813.312","0.015","9","22.75203","98057.3","261.9212"
"28-04-23","16:27:06","4036.073","-8813.312","0.05900001","9","22.75203","98027.69","264.3348"
"28-04-23","16:27:37","4036.073","-8813.312","0.05900001","9","24.36622","98477.81","227.7299"
"28-04-23","16:28:08","4036.073","-8813.312","0.019","10","24.36622","98310.61","241.308"
"28-04-23","16:28:39","4036.073","-8813.312","0.065","10","24.9752","98480.55","227.5085"
"28-04-23","16:29:10","4036.073","-8813.312","0.06","10","24.9752","98327.24","239.956"
"28-04-23","16:29:41","4036.073","-8813.312","0.037","10","25.22932","98398.02","234.2073"
"28-04-23","16:30:12","4036.073","-8813.312","0.05","10","25.22932","98162.73","253.335"
"28-04-23","16:30:43","4036.073","-8813.312","0.024","10","25.27886","98176.3","252.2316"
"28-04-23","16:31:14","4036.073","-8813.312","0.061","10","25.27886","98067.58","261.084"
"28-04-23","16:31:45","4036.073","-8813.312","0.084","10","26.10651","98297.84","242.3453"
"28-04-23","16:32:16","4036.074","-8813.312","0.024","10","26.10651","98156.12","253.8737"
"28-04-23","16:32:47","4036.074","-8813.312","0.073","10","25.25409","97919.34","273.1705"
"28-04-23","16:33:18","4036.074","-8813.312","0.054","10","25.25409","98515.74","224.6534"
"28-04-23","16:33:49","4036.074","-8813.311","0.036","11","23.9361","98148.66","254.4809"
"28-04-23","16:34:20","4036.073","-8813.312","0.856","11","23.9361","98273.38","244.3336"
"28-04-23","16:34:51","4036.073","-8813.312","0.108","10","23.4485","98137.7","255.3729"
"28-04-23","16:35:22","4036.073","-8813.312","0.055","10","23.4485","98277.88","243.9688"
"28-04-23","16:35:53","4036.073","-8813.312","0.824","10","23.87991","98397.93","234.2139"
"28-04-23","16:36:24","4036.073","-8813.312","1.09","11","23.87991","98478.85","227.6456"
"28-04-23","16:36:55","4036.074","-8813.312","1.078","9","23.68623","98424.61","232.048"
"28-04-23","16:37:26","4036.072","-8813.312","0.46","7","23.68623","98018.73","265.0653"
"28-04-23","16:37:57","4036.072","-8813.312","0.921","8","24.51557","98249.7","246.26"
"28-04-23","16:38:28","4036.073","-8813.312","0.051","9","24.51557","97796.98","283.1611"
"date","time","latitude","longitude","velocity","numSatellites","temperature","pressure","altitude"
"","","","","","0","15.3489","97693.49","291.621"
"","","","","","0","15.3489","97700.05","291.0847"
"","","","","","0","15.40852","97716.63","289.7284"
"29-04-23","13:49:58","4024.984","-8850.241","0.678","0","15.40852","97622.64","297.4178"
"29-04-23","13:50:29","4024.984","-8850.24","0.549","3","15.87134","97752.86","286.7672"
"29-04-23","13:51:00","4024.982","-8850.242","0.513","3","15.87134","97695.97","291.4186"
"29-04-23","13:51:29","4024.981","-8850.245","0.192","3","15.65998","97637.05","296.2391"
"29-04-23","13:52:00","4024.986","-8850.245","0.6690001","3","15.65998","97672.77","293.3164"
"29-04-23","13:52:31","4024.99","-8850.241","0.076","5","15.54093","97638.94","296.0839"
"29-04-23","13:53:02","4024.99","-8850.241","0.21","6","15.54093","97736.61","288.0949"
"29-04-23","13:53:33","4024.989","-8850.243","1.419","6","15.35552","97684.73","292.3377"
"29-04-23","13:54:04","4024.991","-8850.241","0.153","6","15.35552","97679.63","292.7549"
"29-04-23","13:54:35","4024.99","-8850.243","0.474","6","15.38202","97686.84","292.1653"
"29-04-23","13:55:06","4024.992","-8850.242","0.209","6","15.38202","97745.13","287.3991"
"29-04-23","13:55:37","4024.992","-8850.242","0.144","7","15.23619","97704.0","290.7619"
"29-04-23","13:56:08","4024.992","-8850.242","0.44","8","15.23619","97741.15","287.7244"
"29-04-23","13:56:39","4024.991","-8850.243","0.31","8","15.09019","97699.99","291.0891"
"29-04-23","13:57:10","4024.99","-8850.242","0.107","8","15.09019","97699.99","291.0891"
"29-04-23","13:57:41","4024.991","-8850.241","0.12","8","14.77771","97611.8","298.3055"
"29-04-23","13:58:12","4024.991","-8850.242","0.293","8","14.77771","97755.86","286.5214"
"29-04-23","13:58:43","4024.992","-8850.241","2.148","8","14.61784","97710.93","290.1947"
"29-04-23","13:59:14","4025.0","-8850.234","0.009","8","14.61784","97822.22","281.0994"
"29-04-23","13:59:45","4025.0","-8850.233","0.051","8","13.74161","97575.01","301.3173"
"29-04-23","14:00:16","4025.001","-8850.233","0.102","8","13.74161","97718.02","289.6151"
"29-04-23","14:00:47","4025.0","-8850.234","0.257","8","13.78188","97728.95","288.7207"
"29-04-23","14:01:18","4024.999","-8850.233","0.053","8","13.78188","97750.01","287.0"
"29-04-23","14:01:49","4025.0","-8850.234","0.026","9","13.89591","97782.1","284.3769"
"29-04-23","14:02:20","4025.0","-8850.233","0.055","10","13.89591","97726.18","288.9479"
"29-04-23","14:02:51","4025.0","-8850.234","0.024","9","13.82884","97707.25","290.4956"
"29-04-23","14:03:22","4025.0","-8850.233","0.019","10","13.82884","97771.14","287.4201"
"29-04-23","14:03:53","4025.0","-8850.233","0.069","11","13.7349","97740.51","287.7768"
"29-04-23","14:04:24","4025.0","-8850.233","0.042","11","13.86238","97776.27","284.8541"
"29-04-23","14:04:55","4025.001","-8850.233","0.046","11","13.86238","97823.47","280.9975"
"29-04-23","14:05:26","4025.001","-8850.233","0.196","11","13.70804","97780.4","284.516"
"29-04-23","14:05:57","4025.001","-8850.233","0.049","11","13.70804","97699.09","291.1629"
"29-04-23","14:06:28","4025.001","-8850.233","0.072","10","13.86908","97744.31","287.4658"
"29-04-23","14:06:59","4025.0","-8850.233","0.04","11","13.86908","97754.48","286.6348"
"29-04-23","14:07:30","4025.001","-8850.233","0.124","11","13.75503","97722.4","289.257"
"29-04-23","14:08:01","4025.0","-8850.233","0.06","11","13.75503","97719.49","289.4951"
"29-04-23","14:08:32","4025.0","-8850.233","0.035","11","13.95623","97776.36","284.8465"
"29-04-23","14:09:03","4025.0","-8850.233","0.062","11","13.95623","97760.38","286.1519"
"29-04-23","14:09:34","4025.0","-8850.233","0.037","11","13.92272","97750.91","286.9258"
"29-04-23","14:10:05","4025.001","-8850.233","0.058","11","13.92272","97684.1","292.3892"
"29-04-23","14:10:36","4025.0","-8850.233","0.014","11","14.2106","97765.62","285.7242"
"29-04-23","14:11:07","4025.0","-8850.234","0.057","10","14.2106","97754.71","286.6157"
"29-04-23","14:11:38","4025.0","-8850.234","0.052","10","13.94283","97679.03","292.8035"
"29-04-23","14:12:09","4025.0","-8850.234","0.015","11","13.94283","97691.37","291.7948"
"29-04-23","14:12:40","4025.0","-8850.234","0.014","11","14.15709","97751.79","286.8543"
"29-04-23","14:13:11","4025.0","-8850.234","0.017","11","14.15709","97658.05","294.5204"
"29-04-23","14:13:42","4025.001","-8850.235","0.014","10","14.48447","97750.3","286.9762"
"29-04-23","14:14:13","4025.0","-8850.234","0.018","10","14.48447","97746.67","287.2725"
"29-04-23","14:14:44","4025.0","-8850.235","0.048","11","14.22398","97673.32","293.2712"
"29-04-23","14:15:15","4025.0","-8850.235","0.036","11","14.22398","97668.23","293.6874"
"29-04-23","14:15:46","4025.001","-8850.235","0.032","10","14.43776","97728.51","288.7578"
"29-04-23","14:16:17","4025.001","-8850.235","0.037","10","14.43776","97685.61","292.2654"
"29-04-23","14:16:48","4025.001","-8850.235","0.014","11","14.41773","97679.82","292.7387"
"29-04-23","14:17:19","4025.001","-8850.235","0.033","10","14.41773","97669.63","293.5726"
"29-04-23","14:17:50","4025.001","-8850.236","0.065","11","14.58452","97716.79","289.7156"
"29-04-23","14:18:21","4025.0","-8850.236","0.027","10","14.58452","97677.51","292.9283"
"29-04-23","14:18:52","4025.002","-8850.24","2.584","10","14.87752","97760.09","286.1761"
"29-04-23","14:19:23","4025.015","-8850.261","2.533","9","14.87752","97722.24","289.2698"
"29-04-23","14:19:54","4025.032","-8850.259","2.379","10","14.15709","97519.27","305.8825"
"29-04-23","14:20:25","4025.044","-8850.244","0.18","9","14.15709","97751.79","286.8543"
"29-04-23","14:20:56","4025.042","-8850.249","0.024","10","13.41897","97543.33","303.9118"
"29-04-23","14:21:27","4025.044","-8850.246","1.762","11","13.41897","97733.38","288.3592"
"29-04-23","14:21:58","4025.047","-8850.244","0.07","11","13.49971","97756.05","286.5057"
"29-04-23","14:22:29","4025.047","-8850.244","0.075","10","13.49971","97683.5","292.4382"
"29-04-23","14:23:00","4025.047","-8850.244","0.316","10","13.40551","97657.19","294.5909"
"29-04-23","14:23:31","4025.046","-8850.241","0.769","9","13.40551","97701.43","290.9714"
"29-04-23","14:24:02","4025.007","-8850.151","11.428","10","13.39205","97697.05","291.33"
"29-04-23","14:24:33","4024.95","-8849.993","16.168","10","13.39205","97359.76","318.9625"
"29-04-23","14:25:04","4024.888","-8849.825","16.908","10","13.10222","97278.02","325.6737"
"29-04-23","14:25:35","4024.833","-8849.633","18.917","10","13.10222","95860.98","442.919"
"29-04-23","14:26:06","4024.767","-8849.459","17.404","10","12.37795","95659.13","459.7603"
"29-04-23","14:26:37","4024.709","-8849.261","18.72","10","12.37795","94369.02","568.2509"
"29-04-23","14:27:08","4024.659","-8849.043","19.687","10","11.94943","94251.27","578.2267"
"29-04-23","14:27:39","4024.627","-8848.794","22.021","10","11.94943","92865.71","696.5579"
"29-04-23","14:28:10","4024.593","-8848.541","21.925","10","13.2034","93207.14","667.2357"
"29-04-23","14:28:41","4024.565","-8848.328","17.438","10","13.2034","91593.18","806.8015"
"29-04-23","14:29:12","4024.53","-8848.136","17.282","10","14.32423","91895.42","780.4787"
"29-04-23","14:29:43","4024.493","-8847.948","16.292","10","14.32423","90789.73","877.198"
"29-04-23","14:30:14","4024.497","-8847.75","18.506","10","15.27598","91043.09","854.9323"
"29-04-23","14:30:45","4024.525","-8847.543","18.81","10","15.27598","89964.99","950.111"
"29-04-23","14:31:16","4024.561","-8847.328","18.945","10","15.48798","90021.16","945.1238"
"29-04-23","14:31:47","4024.598","-8847.111","20.428","10","15.48798","89025.68","1033.972"
"29-04-23","14:32:18","4024.637","-8846.893","19.831","10","16.10872","89189.13","1019.316"
"29-04-23","14:32:49","4024.683","-8846.674","19.794","10","16.10872","88320.69","1097.497"
"29-04-23","14:33:20","4024.733","-8846.464","19.189","10","16.42455","88402.92","1090.061"
"29-04-23","14:33:51","4024.792","-8846.258","18.051","10","16.42455","87606.88","1162.334"
"29-04-23","14:34:22","4024.853","-8846.061","18.756","10","15.80533","87446.7","1176.956"
"29-04-23","14:34:53","4024.915","-8845.873","18.199","10","15.80533","86748.73","1240.986"
"29-04-23","14:35:24","4024.985","-8845.681","19.128","10","15.51446","86673.86","1247.885"
"29-04-23","14:35:55","4025.048","-8845.481","19.178","10","15.51446","85955.98","1314.338"
"29-04-23","14:36:26","4025.112","-8845.271","20.437","9","15.22956","85882.76","1321.147"
"29-04-23","14:36:57","4025.172","-8845.072","19.995","11","15.22956","84885.29","1414.489"
"29-04-23","14:37:28","4025.234","-8844.874","17.985","11","15.09019","84850.31","1417.782"
"29-04-23","14:37:59","4025.299","-8844.68","18.283","10","15.09019","83994.34","1498.795"
"29-04-23","14:38:30","4025.36","-8844.477","19.254","11","15.06362","83987.91","1499.405"
"29-04-23","14:39:01","4025.422","-8844.277","18.508","11","15.06362","83091.34","1585.158"
"29-04-23","14:39:32","4025.483","-8844.079","19.909","8","14.29082","82898.75","1603.698"
"29-04-23","14:40:03","4025.546","-8843.882","18.913","10","14.29082","82141.68","1677.003"
"29-04-23","14:40:34","4025.606","-8843.676","18.932","10","13.93612","82053.73","1685.562"
"29-04-23","14:41:05","4025.665","-8843.472","19.316","9","13.93612","81289.36","1760.341"
"29-04-23","14:41:36","4025.732","-8843.265","21.083","9","13.05497","81072.88","1781.647"
"29-04-23","14:42:07","4025.798","-8843.058","19.198","9","13.05497","80454.8","1842.794"
"29-04-23","14:42:38","4025.872","-8842.841","22.405","9","12.71018","80370.6","1851.161"
"29-04-23","14:43:09","4025.952","-8842.621","20.854","9","12.71018","79784.13","1909.678"
"29-04-23","14:43:40","4026.036","-8842.407","22.311","9","11.84716","79575.09","1930.64"
"29-04-23","14:44:11","4026.125","-8842.192","22.768","9","11.84716","78760.3","2012.874"
"29-04-23","14:44:42","4026.21","-8841.976","21.116","9","11.91535","78776.63","2011.217"
"29-04-23","14:45:13","4026.301","-8841.76","21.782","9","11.91535","78041.16","2086.163"
"29-04-23","14:45:44","4026.392","-8841.549","21.583","9","11.64236","77975.57","2092.882"
"29-04-23","14:46:15","4026.483","-8841.334","22.336","9","11.64236","77302.63","2162.135"
"29-04-23","14:46:46","4026.58","-8841.119","23.649","9","11.01203","77153.5","2177.565"
"29-04-23","14:47:17","4026.68","-8840.896","24.489","8","11.01203","76389.37","2257.092"
"29-04-23","14:47:48","4026.78","-8840.667","23.484","8","10.54387","76278.51","2268.696"
"29-04-23","14:48:19","4026.889","-8840.444","21.29","8","10.54387","75573.5","2342.887"
"29-04-23","14:48:50","4027.006","-8840.231","24.219","8","9.685061","75373.02","2364.111"
"29-04-23","14:49:21","4027.126","-8840.026","23.294","8","9.685061","74580.41","2448.578"
"29-04-23","14:49:52","4027.254","-8839.823","23.026","8","8.20088","74235.86","2485.576"
"29-04-23","14:50:23","4027.382","-8839.626","23.733","8","8.20088","73430.22","2572.761"
"29-04-23","14:50:54","4027.509","-8839.425","23.416","8","7.79119","73336.19","2583.0"
"29-04-23","14:51:25","4027.635","-8839.225","21.384","8","7.79119","72642.85","2658.898"
"29-04-23","14:51:56","4027.76","-8839.023","22.479","8","6.509267","72350.88","2691.077"
"29-04-23","14:52:27","4027.885","-8838.817","24.642","8","6.509267","71517.8","2783.611"
"29-04-23","14:52:58","4028.012","-8838.618","25.477","8","4.949011","71164.95","2823.129"
"29-04-23","14:53:29","4028.145","-8838.407","23.51","9","4.949011","70194.98","2932.78"
"29-04-23","14:54:00","4028.263","-8838.167","28.186","9","3.503709","69871.75","2969.657"
"29-04-23","14:54:31","4028.365","-8837.878","26.854","9","3.503709","69019.72","3067.688"
"29-04-23","14:55:02","4028.451","-8837.604","24.876","10","0.3671936","68326.89","3148.298"
"29-04-23","14:55:33","4028.569","-8837.341","29.215","10","0.3671936","67381.97","3259.567"
"29-04-23","14:56:04","4028.671","-8837.054","25.121","10","-1.678606","66934.84","3312.762"
"29-04-23","14:56:35","4028.793","-8836.793","29.396","9","-1.678606","65990.94","3426.238"
"29-04-23","14:57:06","4028.929","-8836.545","28.804","9","-3.262955","65649.22","3467.72"
"29-04-23","14:57:37","4029.066","-8836.288","25.048","10","-3.262955","64749.92","3577.927"
"29-04-23","14:58:08","4029.191","-8836.04","27.686","10","-2.150661","64987.48","3548.667"
"29-04-23","14:58:39","4029.334","-8835.807","28.083","10","-2.150661","63445.64","3740.516"
"29-04-23","14:59:10","4029.462","-8835.54","25.881","10","-1.733536","63533.37","3729.476"
"29-04-23","14:59:41","4029.581","-8835.28","26.865","9","-1.733536","62199.9","3898.958"
"29-04-23","15:00:12","4029.712","-8835.008","27.308","10","-1.045595","62342.41","3880.673"
"29-04-23","15:00:43","4029.831","-8834.734","29.198","9","-1.045595","61226.75","4024.954"
"29-04-23","15:01:14","4029.955","-8834.465","24.157","10","-0.7347656","61290.46","4016.645"
"29-04-23","15:01:45","4030.069","-8834.2","28.578","10","-0.7347656","60050.16","4179.993"
"29-04-23","15:02:16","4030.18","-8833.94","26.895","10","-2.816184","59630.34","4236.048"
"29-04-23","15:02:47","4030.293","-8833.667","27.717","9","-2.816184","58439.31","4397.252"
"29-04-23","15:03:18","4030.414","-8833.402","25.766","10","-3.607726","58282.12","4418.771"
"29-04-23","15:03:49","4030.52","-8833.124","30.92","10","-3.607726","57391.08","4541.87"
"29-04-23","15:04:20","4030.631","-8832.829","28.134","10","-5.81658","56957.27","4602.495"
"29-04-23","15:04:51","4030.744","-8832.523","28.453","10","-5.81658","55650.84","4787.896"
"29-04-23","15:05:22","4030.849","-8832.224","30.383","9","-6.131513","55590.55","4796.557"
"29-04-23","15:05:53","4030.964","-8831.914","29.67","9","-6.131513","54938.56","4890.821"
"29-04-23","15:06:24","4031.06","-8831.637","27.812","9","-4.683836","55215.68","4850.618"
"29-04-23","15:06:55","4031.176","-8831.333","28.575","10","-4.683836","54435.3","4964.35"
"29-04-23","15:07:26","4031.283","-8831.065","26.189","10","-7.862582","53832.67","5053.296"
"29-04-23","15:07:57","4031.417","-8830.784","31.624","10","-7.862582","53083.54","5165.265"
"29-04-23","15:08:28","4031.532","-8830.477","32.297","10","-8.873212","52894.13","5193.827"
"29-04-23","15:08:59","4031.642","-8830.141","31.443","11","-8.873212","51839.79","5354.7"
"29-04-23","15:09:30","4031.74","-8829.805","30.287","11","-9.436157","51735.49","5370.792"
"29-04-23","15:10:01","4031.824","-8829.449","33.666","10","-9.436157","50852.04","5508.409"
"29-04-23","15:10:32","4031.916","-8829.08","37.912","11","-11.29592","50513.13","5561.838"
"29-04-23","15:11:03","4032.016","-8828.666","38.54","10","-11.29592","49567.34","5712.857"
"29-04-23","15:11:34","4032.125","-8828.253","37.839","11","-4.953178","50713.66","5530.181"
"29-04-23","15:12:05","4032.237","-8827.834","39.271","11","-4.953178","48776.21","5841.413"
"29-04-23","15:12:36","4032.345","-8827.408","39.789","10","0.1064789","49673.45","5695.771"
"29-04-23","15:13:07","4032.461","-8826.983","40.504","11","0.1064789","49231.13","5767.238"
"29-04-23","15:13:38","4032.576","-8826.563","38.817","11","-2.86393","48706.99","5852.759"
"29-04-23","15:14:09","4032.694","-8826.135","41.041","11","-2.86393","48761.29","5843.857"
"29-04-23","15:14:40","4032.805","-8825.701","41.316","10","-3.833041","48590.22","5871.938"
"29-04-23","15:15:11","4032.92","-8825.264","41.508","11","-3.833041","47196.14","6104.528"
"29-04-23","15:15:42","4033.043","-8824.832","41.745","10","-0.324678","47804.13","6002.256"
"29-04-23","15:16:13","4033.172","-8824.4","42.127","11","-0.324678","47573.07","6040.97"
"29-04-23","15:16:44","4033.312","-8823.977","39.996","12","-3.639873","47000.19","6137.77"
"29-04-23","15:17:15","4033.453","-8823.546","41.751","12","-3.639873","47137.08","6114.533"
"29-04-23","15:17:46","4033.594","-8823.11","41.5","12","-7.57402","46458.39","6230.411"
"29-04-23","15:18:17","4033.734","-8822.67","42.275","10","-7.57402","45939.23","6320.201"
"29-04-23","15:18:48","4033.882","-8822.231","42.031","12","-4.521059","46461.77","6229.831"
"29-04-23","15:19:19","4034.04","-8821.812","41.347","12","-4.521059","45393.26","6524.983"
"29-04-23","15:19:50","4034.203","-8821.405","39.368","12","-8.177935","45293.79","6433.253"
"29-04-23","15:20:21","4034.372","-8821.006","40.102","10","-8.101095","45306.61","6430.992"
"29-04-23","15:20:52","4034.544","-8820.609","40.314","12","-8.101095","44066.14","6652.807"
"29-04-23","15:21:23","4034.721","-8820.223","39.416","12","-2.855971","44942.69","6495.431"
"29-04-23","15:21:54","4034.905","-8819.835","41.474","10","-2.855971","43872.32","6688.025"
"29-04-23","15:22:25","4035.097","-8819.455","40.775","12","-4.732735","43562.64","6744.625"
"29-04-23","15:22:56","4035.302","-8819.072","38.599","12","-4.732735","44252.11","6619.158"
"29-04-23","15:23:27","4035.491","-8818.691","42.046","12","-11.68127","43101.02","6829.745"
"29-04-23","15:23:58","4035.677","-8818.308","39.309","11","-11.68127","43090.79","6831.642"
"29-04-23","15:24:29","4035.863","-8817.936","38.362","11","-13.62401","42771.15","6891.13"
"29-04-23","15:25:00","4036.053","-8817.544","40.689","11","-13.62401","41920.7","7051.602"
"29-04-23","15:25:31","4036.229","-8817.174","39.824","11","-13.28236","41976.31","7041.009"
"29-04-23","15:26:02","4036.412","-8816.781","42.106","10","-13.28236","40825.04","7263.21"
"29-04-23","15:26:33","4036.589","-8816.396","40.292","11","-9.98617","41352.8","7160.583"
"29-04-23","15:27:04","4036.775","-8816.018","40.684","10","-9.98617","40733.41","7281.164"
"29-04-23","15:27:35","4036.955","-8815.635","39.546","11","-12.43146","40344.79","7357.758"
"29-04-23","15:28:06","4037.136","-8815.248","39.971","11","-12.43146","40089.61","7408.455"
"29-04-23","15:28:37","4037.308","-8814.848","41.112","11","-13.99542","39842.98","7457.762"
"29-04-23","15:29:08","4037.48","-8814.417","43.968","11","-13.99542","39799.59","7466.469"
"29-04-23","15:29:39","4037.664","-8813.977","45.028","11","-14.76365","39678.64","7490.785"
"29-04-23","15:30:10","4037.851","-8813.513","47.536","10","-14.76365","38354.27","7762.023"
"29-04-23","15:30:41","4038.048","-8813.045","47.908","10","-13.08924","38612.76","7708.356"
"29-04-23","15:31:12","4038.248","-8812.581","46.974","11","-13.08924","37746.62","7889.625"
"29-04-23","15:31:43","4038.466","-8812.112","50.575","11","-8.34897","38472.72","7737.386"
"29-04-23","15:32:14","4038.675","-8811.622","49.938","10","-8.34897","37979.57","7840.464"
"29-04-23","15:32:45","4038.885","-8811.138","49.856","10","-12.83265","37298.0","7985.153"
"29-04-23","15:33:16","4039.097","-8810.65","49.891","11","-12.83265","37006.43","8047.86"
"29-04-23","15:33:47","4039.325","-8810.162","52.6","10","-19.49389","36005.79","8266.882"
"29-04-23","15:34:18","4039.565","-8809.656","52.597","11","-19.49389","36038.57","8259.609"
"29-04-23","15:34:49","4039.812","-8809.141","52.589","12","-15.69425","36608.55","8134.23"
